Sample	Type
CTRL_P_576_1.C7L02	CTRL
CTRL_P_577_1.C8L03	CTRL
CTRL_P_580_1.C8L04	CTRL
CTRL_P_581_1.C7L03	CTRL
CTRL_P_582_1.C7L03	CTRL
CTRL_P_583_1.C6L01	CTRL
CTRL_P_584_1.C6L01	CTRL
CTRL_P_585_1.C6L01	CTRL
CTRL_P_586_1.C6L02	CTRL
CTRL_P_96_1_C.C2L03	CTRL
CASE_116_36_2_1.C09L01	CASE
CASE_121_31_6_1.C09L02	CASE
CASE_131_25_2_1.C01L01	CASE
CASE_138_33_4_1.C01L02	CASE
CASE_145_36_1_1.C01L03	CASE
CASE_150_30_6_1.C01L04	CASE
CASE_153_33_2_1.C02L01	CASE
CASE_156_23_6_1.C02L02	CASE
CASE_164_32_6_1.C02L03	CASE
CASE_165_24_2_1.C02L04	CASE
CASE_89_35_6_1.C08L04	CASE
CASE_E_33_1.C03L02	CASE
CASE_I_33_1.C08L01	CASE
CASE_P_107_1_T.C010L03	CASE
CASE_P_112_1_T.C010L04	CASE
CASE_P_12_30_1.C03L01	CASE
CASE_P_137_1.C04L01	CASE
CASE_P_180_1.C04L02	CASE
CASE_P_185_1.C04L03	CASE
CASE_P_190_1_T.C04L04	CASE
CASE_P_196_1.C05L01	CASE
CASE_P_23_29_1.C03L04	CASE
CASE_P_28_29_1.C03L03	CASE
CASE_P_31_31_1.C08L02	CASE
CASE_P_37_35_1.C08L03	CASE
CASE_P_50_35_1.C09L03	CASE
CASE_P_57_32_1.C09L04	CASE
CASE_P_96_1.C010L01	CASE
CASE_P_99_1.C010L02	CASE
CTRL_P_103_1.C02L02	CTRL
CTRL_P_104_1.C02L02	CTRL
CTRL_P_107_1.C02L03	CTRL
CTRL_P_109_1.C02L03	CTRL
CTRL_P_110_1.C02L04	CTRL
CTRL_P_112_1.C03L02	CTRL
CTRL_P_113_1.C03L01	CTRL
CTRL_P_116_1.C03L01	CTRL
CTRL_P_117_1.C03L03	CTRL
CTRL_P_124_1.C03L03	CTRL
CTRL_P_125_1.C03L02	CTRL
CTRL_P_132_1.C03L04	CTRL
CTRL_P_135_1.C03L04	CTRL
CTRL_P_136_1.C09L04	CTRL
CTRL_P_140_1.C05L02	CTRL
CTRL_P_160_1.C010L02	CTRL
CTRL_P_182_1.C010L01	CTRL
CTRL_P_186_1.C010L02	CTRL
CTRL_P_197_1.C04L01	CTRL
CTRL_P_198_1.C010L04	CTRL
CTRL_P_200_1.C010L04	CTRL
CTRL_P_202_1.C04L03	CTRL
CTRL_P_20_39_1.C08L04	CTRL
CTRL_P_204_1.C04L01	CTRL
CTRL_P_209_1.C04L02	CTRL
CTRL_P_210_1.C04L02	CTRL
CTRL_P_211_1.C04L04	CTRL
CTRL_P_21_39_1.C08L03	CTRL
CTRL_P_216_1.C04L04	CTRL
CTRL_P_217_1.C05L01	CTRL
CTRL_P_22_38_1.C08L01	CTRL
CTRL_P_224_1.C04L03	CTRL
CTRL_P_230_1.C05L03	CTRL
CTRL_P_231_1.C05L02	CTRL
CTRL_P_232_1.C05L01	CTRL
CTRL_P_233_1.C05L02	CTRL
CTRL_P_23_40_1.C08L03	CTRL
CTRL_P_239_1.C05L04	CTRL
CTRL_P_240_1.C06L01	CTRL
CTRL_P_248_1.C05L03	CTRL
CTRL_P_259_1.C05L03	CTRL
CTRL_P_263_1.C06L02	CTRL
CTRL_P_26_39_1.C010L01	CTRL
CTRL_P_266_1.C05L04	CTRL
CTRL_P_268_1.C05L04	CTRL
CTRL_P_270_1.C06L01	CTRL
CTRL_P_271_1.C06L01	CTRL
CTRL_P_27_40_1.C08L02	CTRL
CTRL_P_275_1.C06L03	CTRL
CTRL_P_283_1.C06L02	CTRL
CTRL_P_284_1.C06L02	CTRL
CTRL_P_289_1.C06L04	CTRL
CTRL_P_291_1.C06L03	CTRL
CTRL_P_294_1.C06L03	CTRL
CTRL_P_302_1.C06L04	CTRL
CTRL_P_303_1.C07L01	CTRL
CTRL_P_308_1.C07L01	CTRL
CTRL_P_310_1.C07L01	CTRL
CTRL_P_337_1.C07L02	CTRL
CTRL_P_34_37_1.C08L02	CTRL
CTRL_P_344_1.C07L02	CTRL
CTRL_P_346_1.C07L02	CTRL
CTRL_P_350_1.C06L04	CTRL
CTRL_P_361_1.C07L03	CTRL
CTRL_P_365_1.C07L03	CTRL
CTRL_P_368_1.C07L03	CTRL
CTRL_P_374_1.C07L04	CTRL
CTRL_P_377_1.C07L04	CTRL
CTRL_P_384_1.C07L04	CTRL
CTRL_P_45_37_1.C09L01	CTRL
CTRL_P_47_39_1.C08L01	CTRL
CTRL_P_50_38_1.C09L01	CTRL
CTRL_P_51_38_1.C09L02	CTRL
CTRL_P_52_39_1.C09L03	CTRL
CTRL_P_56_37_1.C09L02	CTRL
CTRL_P_59_37_1.C09L03	CTRL
CTRL_P_62_39_1.C08L04	CTRL
CTRL_P_64_37_1.C010L03	CTRL
CTRL_P_67_1.C010L03	CTRL
CTRL_P_68_1.C09L04	CTRL
CTRL_P_69_1.C01L02	CTRL
CTRL_P_73_1.C01L01	CTRL
CTRL_P_74_1.C01L01	CTRL
CTRL_P_75_1.C01L03	CTRL
CTRL_P_76_1.C01L03	CTRL
CTRL_P_78_1.C01L04	CTRL
CTRL_P_81_1.C01L02	CTRL
CTRL_P_82_1.C02L01	CTRL
CTRL_P_91_1.C02L04	CTRL
CTRL_P_97_1.C01L04	CTRL
CTRL_P_98_1.C02L01	CTRL
CASE_111_26_5_1.C19L02	CASE
CASE_114_25_1.C16L03	CASE
CASE_115_35_6_1.C16L04	CASE
CASE_117_22_2_1.C19L03	CASE
CASE_122_28_1.C19L04	CASE
CASE_126_30_6_1.C19L04	CASE
CASE_132_26_3_1.C20L01	CASE
CASE_139_30_5_1.C20L02	CASE
CASE_141_39_1.C20L02	CASE
CASE_14_31_1.C14L01	CASE
CASE_15_34_1.C18L01	CASE
CASE_158_33_4_1.C20L04	CASE
CASE_18_35_1.C14L02	CASE
CASE_21_28_1.C14L03	CASE
CASE_25_34_1.C18L02	CASE
CASE_27_31_1.C18L03	CASE
CASE_28_32_1.C14L04	CASE
CASE_30_31_1.C15L01	CASE
CASE_32_34_1.C15L02	CASE
CASE_47_35_4_1.C15L03	CASE
CASE_53_20_5_1.C18L01	CASE
CASE_59_14_3_1.C21L02	CASE
